Country,Method,Top 1,Top 2,Top 3
Poland,Apple Pay,Bit2Me,Mercuryo,Swipelux
Poland,Google Pay,Bit2Me,Mercuryo,Swipelux
Poland,Card,Bit2Me,Mercuryo,Swipelux
Poland,SEPA,Bit2Me,Mercuryo,Swipelux
Poland,Faster Payments,Bit2Me,Mercuryo,Swipelux
Poland,Bank Transfer,Bit2Me,Mercuryo,Swipelux
Czechia,Apple Pay,Bit2Me,Mercuryo,Swipelux
Czechia,Google Pay,Bit2Me,Mercuryo,Swipelux
Czechia,Card,Bit2Me,Mercuryo,Swipelux
Czechia,SEPA,Bit2Me,Mercuryo,Swipelux
Czechia,Faster Payments,Bit2Me,Mercuryo,Swipelux
Czechia,Bank Transfer,Bit2Me,Mercuryo,Swipelux
Lithuania,Apple Pay,Bit2Me,Mercuryo,Swipelux
Lithuania,Google Pay,Bit2Me,Mercuryo,Swipelux
Lithuania,Card,Bit2Me,Mercuryo,Swipelux
Lithuania,SEPA,Bit2Me,Mercuryo,Swipelux
Lithuania,Faster Payments,Bit2Me,Mercuryo,Swipelux
Lithuania,Bank Transfer,Bit2Me,Mercuryo,Swipelux
Latvia,Apple Pay,Bit2Me,Mercuryo,Swipelux
Latvia,Google Pay,Bit2Me,Mercuryo,Swipelux
Latvia,Card,Bit2Me,Mercuryo,Swipelux
Latvia,SEPA,Bit2Me,Mercuryo,Swipelux
Latvia,Faster Payments,Bit2Me,Mercuryo,Swipelux
Latvia,Bank Transfer,Bit2Me,Mercuryo,Swipelux
Estonia,Apple Pay,Bit2Me,Mercuryo,Swipelux
Estonia,Google Pay,Bit2Me,Mercuryo,Swipelux
Estonia,Card,Bit2Me,Mercuryo,Swipelux
Estonia,SEPA,Bit2Me,Mercuryo,Swipelux
Estonia,Faster Payments,Bit2Me,Mercuryo,Swipelux
Estonia,Bank Transfer,Bit2Me,Mercuryo,Swipelux
Finland,Apple Pay,Bit2Me,Mercuryo,Swipelux
Finland,Google Pay,Bit2Me,Mercuryo,Swipelux
Finland,Card,Bit2Me,Mercuryo,Swipelux
Finland,SEPA,Bit2Me,Mercuryo,Swipelux
Finland,Faster Payments,Bit2Me,Mercuryo,Swipelux
Finland,Bank Transfer,Bit2Me,Mercuryo,Swipelux
Sweden,Apple Pay,Bit2Me,Mercuryo,Swipelux
Sweden,Google Pay,Bit2Me,Mercuryo,Swipelux
Sweden,Card,Bit2Me,Mercuryo,Swipelux
Sweden,SEPA,Bit2Me,Mercuryo,Swipelux
Sweden,Faster Payments,Bit2Me,Mercuryo,Swipelux
Sweden,Bank Transfer,Bit2Me,Mercuryo,Swipelux
Switzerland,Apple Pay,Bit2Me,Mercuryo,Swipelux
Switzerland,Google Pay,Bit2Me,Mercuryo,Swipelux
Switzerland,Card,Bit2Me,Mercuryo,Swipelux
Switzerland,SEPA,Bit2Me,Mercuryo,Swipelux
Switzerland,Faster Payments,Bit2Me,Mercuryo,Swipelux
Switzerland,Bank Transfer,Bit2Me,Mercuryo,Swipelux
Denmark,Apple Pay,Bit2Me,Mercuryo,Swipelux
Denmark,Google Pay,Bit2Me,Mercuryo,Swipelux
Denmark,Card,Bit2Me,Mercuryo,Swipelux
Denmark,SEPA,Bit2Me,Mercuryo,Swipelux
Denmark,Faster Payments,Bit2Me,Mercuryo,Swipelux
Denmark,Bank Transfer,Bit2Me,Mercuryo,Swipelux
Norway,Apple Pay,Bit2Me,Mercuryo,Swipelux
Norway,Google Pay,Bit2Me,Mercuryo,Swipelux
Norway,Card,Bit2Me,Mercuryo,Swipelux
Norway,SEPA,Bit2Me,Mercuryo,Swipelux
Norway,Faster Payments,Bit2Me,Mercuryo,Swipelux
Norway,Bank Transfer,Bit2Me,Mercuryo,Swipelux
Spain,Apple Pay,Bit2Me,Mercuryo,Swipelux
Spain,Google Pay,Bit2Me,Mercuryo,Swipelux
Spain,Card,Bit2Me,Mercuryo,Swipelux
Spain,SEPA,Bit2Me,Mercuryo,Swipelux
Spain,Faster Payments,Bit2Me,Mercuryo,Swipelux
Spain,Bank Transfer,Bit2Me,Mercuryo,Swipelux
Portugal,Apple Pay,Bit2Me,Mercuryo,Swipelux
Portugal,Google Pay,Bit2Me,Mercuryo,Swipelux
Portugal,Card,Bit2Me,Mercuryo,Swipelux
Portugal,SEPA,Bit2Me,Mercuryo,Swipelux
Portugal,Faster Payments,Bit2Me,Mercuryo,Swipelux
Portugal,Bank Transfer,Bit2Me,Mercuryo,Swipelux
Netherlands,Apple Pay,Bit2Me,Mercuryo,Swipelux
Netherlands,Google Pay,Bit2Me,Mercuryo,Swipelux
Netherlands,Card,Bit2Me,Mercuryo,Swipelux
Netherlands,SEPA,Bit2Me,Mercuryo,Swipelux
Netherlands,Faster Payments,Bit2Me,Mercuryo,Swipelux
Netherlands,Bank Transfer,Bit2Me,Mercuryo,Swipelux
Germany,Apple Pay,Bit2Me,Mercuryo,Swipelux
Germany,Google Pay,Bit2Me,Mercuryo,Swipelux
Germany,Card,Bit2Me,Mercuryo,Swipelux
Germany,SEPA,Bit2Me,Mercuryo,Swipelux
Germany,Faster Payments,Bit2Me,Mercuryo,Swipelux
Germany,Bank Transfer,Bit2Me,Mercuryo,Swipelux
Romania,Apple Pay,Bit2Me,Mercuryo,Swipelux
Romania,Google Pay,Bit2Me,Mercuryo,Swipelux
Romania,Card,Bit2Me,Mercuryo,Swipelux
Romania,SEPA,Bit2Me,Mercuryo,Swipelux
Romania,Faster Payments,Bit2Me,Mercuryo,Swipelux
Romania,Bank Transfer,Bit2Me,Mercuryo,Swipelux
Hungary,Apple Pay,Bit2Me,Mercuryo,Swipelux
Hungary,Google Pay,Bit2Me,Mercuryo,Swipelux
Hungary,Card,Bit2Me,Mercuryo,Swipelux
Hungary,SEPA,Bit2Me,Mercuryo,Swipelux
Hungary,Faster Payments,Bit2Me,Mercuryo,Swipelux
Hungary,Bank Transfer,Bit2Me,Mercuryo,Swipelux
United Kingdom,Apple Pay,Bit2Me,Mercuryo,Swipelux
United Kingdom,Google Pay,Bit2Me,Mercuryo,Swipelux
United Kingdom,Card,Bit2Me,Mercuryo,Swipelux
United Kingdom,SEPA,Bit2Me,Mercuryo,Swipelux
United Kingdom,Faster Payments,Bit2Me,Mercuryo,Swipelux
United Kingdom,Bank Transfer,Bit2Me,Mercuryo,Swipelux
Ireland,Apple Pay,Bit2Me,Mercuryo,Swipelux
Ireland,Google Pay,Bit2Me,Mercuryo,Swipelux
Ireland,Card,Bit2Me,Mercuryo,Swipelux
Ireland,SEPA,Bit2Me,Mercuryo,Swipelux
Ireland,Faster Payments,Bit2Me,Mercuryo,Swipelux
Ireland,Bank Transfer,Bit2Me,Mercuryo,Swipelux
Canada,Apple Pay,Bit2Me,Mercuryo,Swipelux
Canada,Google Pay,Bit2Me,Mercuryo,Swipelux
Canada,Card,Bit2Me,Mercuryo,Swipelux
Canada,SEPA,Bit2Me,Mercuryo,Swipelux
Canada,Faster Payments,Bit2Me,Mercuryo,Swipelux
Canada,Bank Transfer,Bit2Me,Mercuryo,Swipelux
France,Apple Pay,Bit2Me,Mercuryo,Swipelux
France,Google Pay,Bit2Me,Mercuryo,Swipelux
France,Card,Bit2Me,Mercuryo,Swipelux
France,SEPA,Bit2Me,Mercuryo,Swipelux
France,Faster Payments,Bit2Me,Mercuryo,Swipelux
France,Bank Transfer,Bit2Me,Mercuryo,Swipelux
